wallet_id,aggregated_lp_score,num_deposits,num_withdrawals,avg_holding_days,min_holding_days,max_holding_days,liquidity_percent_remaining,retained_liquidity,lp_volatility_stddev,dust_deposit_count,dust_deposit_volume,total_deposit_all_time,total_withdraw_all_time
0x0bd5161676ad9abefb6630efb44592610e965d91,322.0,2.0,1.0,0.863483796,0.863483796,0.863483796,0.0,-0.110153,0.0,0.0,0.0,1012.456029,1012.566182
0x0b20b8fe0085b151c667dbae059f44e8e6694377,58.65,6.0,2.0,0.0,0.0,0.0,0.0,-2.219804,0.0,3.0,3.527585,0.0,2.219804
0x0b5cd09dde0f103d553c786c3d59271a908c5b2c,464.6,12.0,2.0,645.1473568,1.916030093,967.1700862,0.0,-5.400011,3548.062143,0.0,0.0,9939.794652,9945.194663
0x0ad611c668b1137e0c722c6f79cf7023f7504039,115.0,2.0,2.0,0.0,0.0,0.0,0.0,-44.97860491,0.0,1.0,20.85825168,0.0,44.97860491
0x0b97599acb8b98f22d63ac608a0a7f916abbebc3,50.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.313115153,0.0,0.0
0x0c9605d19a359b879171f1d148f8619ff32caa14,287.5,2.0,2.0,116.2895602,116.2895602,116.2895602,0.0,-5360.416299,1760.789807,0.0,0.0,751.770968,6112.187267
0x0c44a7a9de4703290d1637fa95835f0eb614a99b,115.0,2.0,4.0,0.0,0.0,0.0,0.0,-1555.727152121,0.0,1.0,2.259352854,0.0,1555.727152121
0x0bd0a230f6c25b47567196bf2890a1768d1d86d2,50.6,6.0,2.0,0.0,0.0,0.0,0.0,-1.67887,0.0,3.0,1.937138,0.0,1.67887
0x0c064f2401d2ca21485fce1c7683d0da408e5e3d,380.65,4.0,2.0,3.75259838,1.940520833,5.564675926,0.002057248,2.927376417,503.3460248,0.0,0.0,1422.957142,1420.029766
0x0be3f37201699f00c21dcba18861ed4f60288e1d,332.35,8.0,6.0,5.517488426,0.005185185,11.02979167,0.0,-33310.49962,65904.52347,3.0,4.92755,108792.9509,142103.4505
0x0c1400a5d03a21e98cd91331ed1aff5a033ae1d1,63.25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.209617521,0.0,0.0
0x0bd6828a33dbf17de83c71915869bb81f03038d7,293.25,4.0,2.0,0.937731481,0.474594907,1.400868056,0.0,-0.663291,101.7479427,0.0,0.0,435.311052,435.974343
0x0c403e0d57eeb8f091bcfa8efdf01c00509f04f2,374.9,2.0,1.0,19.96579861,19.96579861,19.96579861,0.0,-1.347474,0.0,0.0,0.0,608.03055,609.378024
0x0d625556f0afd23ff576cdf618c374092c2a54a7,724.5,2.0,0.0,1161.239035,1161.239035,1161.239035,1.0,342.918225,0.0,0.0,0.0,342.918225,0.0
0x0c63a624fc531c35491d3624cc860b551f799dda,447.35,58.0,34.0,41.8766978,0.002152778,1147.603001,0.0,-51.291353,1178.00642,1.0,8.220122,49927.85683,49979.14818
0x0e49d1d9effb862ff0a7984ac319ce3376cead57,515.2,2.0,1.0,35.05003472,35.05003472,35.05003472,0.0,-0.755356,0.0,0.0,0.0,243.628891,244.384247
